1480388913.000000, 1480388913.000000, 1480388913.000000
32.000000, 32.000000, 32.000000
48,-69,33
47,-73,32
42,-76,34
42,-74,35
35,-73,36
29,-67,33
28,-62,31
19,-48,23
20,-41,22
23,-33,24
25,-32,24
31,-26,24
36,-22,30
46,-16,39
42,-14,40
43,-15,49
44,-8,50
46,-7,48
50,-4,42
52,-4,43
45,-6,39
44,-9,36
42,-11,33
40,-9,32
38,-1,30
42,2,31
47,8,32
45,13,28
50,14,28
70,8,35
70,7,36
85,7,37
92,-3,38
79,-1,28
75,-2,26
77,-2,25
73,1,22
66,-1,18
60,2,18
72,7,23
87,23,24
85,27,24
76,29,15
71,27,12
55,24,7
51,27,7
39,28,12
28,31,10
27,32,17
15,44,23
20,43,23
27,28,31
29,28,33
25,27,31
21,30,24
17,38,15
24,36,25
19,50,28
22,58,29
27,60,27
24,55,25
23,50,24
22,49,24
24,50,25
30,55,20
29,56,19
34,57,26
35,64,21
26,64,19
30,62,24
24,56,25
20,54,16
21,51,14
21,51,17
16,53,18
17,56,21
18,57,22
20,56,23
21,53,23
23,57,21
21,60,20
23,55,24
26,51,29
28,51,30
29,52,27
46,49,30
8,37,29
12,35,35
31,40,36
31,46,35
25,52,39
25,54,39
32,50,41
24,41,34
19,42,30
16,46,26
18,45,23
19,49,18
20,45,15
20,47,13
26,48,15
34,48,17
34,50,16
33,48,15
32,42,18
31,39,20
32,36,22
25,30,21
19,19,16
22,11,13
32,-4,11
39,-11,13
43,-26,15
46,-36,18
47,-63,20
57,-91,17
59,-90,11
58,-92,10
65,-94,16
61,-78,15
57,-70,15
46,-59,9
41,-57,5
31,-58,0
26,-59,-1
20,-57,4
36,-62,6
34,-59,6
31,-61,8
30,-61,9
23,-61,7
19,-58,5
17,-56,5
18,-57,5
19,-56,5
18,-55,5
15,-59,6
10,-64,13
3,-63,15
7,-62,16
16,-53,9
23,-47,8
27,-47,11
30,-48,16
32,-50,16
35,-53,14
32,-54,10
36,-61,7
46,-77,7
42,-76,6
39,-76,5
31,-70,6
28,-69,2
18,-66,-3
15,-61,-4
14,-59,-4
11,-55,-4
9,-54,-3
3,-51,-8
-1,-46,-6
1,-46,-4
1,-46,-3
8,-54,-2
12,-59,-2
21,-73,0
28,-81,7
31,-85,10
35,-107,11
36,-91,17
31,-47,23
16,-43,12
10,-48,5
11,-53,4
15,-54,6
17,-54,6
22,-48,9
23,-40,5
29,-39,5
40,-39,9
47,-43,10
29,-50,5
33,-63,1
38,-72,-1
43,-88,-4
48,-89,-4
46,-76,-2
32,-60,-1
21,-63,-5
19,-59,-6
16,-53,-7
14,-51,-5
14,-46,-3
16,-41,1
15,-40,2
14,-41,1
12,-53,1
10,-60,-2
11,-69,-3
16,-74,1
15,-85,-1
27,-89,9
36,-76,22
36,-53,30
25,-58,10
21,-60,3
19,-60,-1
11,-56,1
10,-52,4
16,-43,9
24,-40,8
25,-39,8
28,-43,10
28,-47,10
33,-60,10
44,-73,12
44,-74,11
40,-79,7
40,-91,12
38,-76,11
30,-68,3
26,-81,-1
23,-80,-3
16,-71,-7
15,-67,-7
13,-55,-4
14,-49,-2
16,-40,0
16,-39,1
14,-46,2
13,-52,4
11,-63,3
12,-62,4
12,-59,9
9,-78,3
16,-76,6
28,-65,22
22,-80,21
21,-83,14
22,-79,10
24,-65,12
22,-56,11
16,-47,6
22,-48,7
22,-47,5
30,-53,7
32,-55,8
40,-65,7
45,-69,10
53,-77,11
51,-94,11
29,-72,16
24,-63,15
22,-77,9
21,-79,6
22,-80,5
11,-78,2
10,-75,4
4,-58,2
7,-51,1
14,-46,3
15,-46,4
14,-53,3
12,-57,3
11,-62,2
13,-61,3
11,-71,3
17,-77,3
21,-63,9
22,-56,19
18,-63,18
20,-73,16
21,-74,15
15,-65,6
13,-59,5
13,-53,6
21,-54,7
26,-56,3
31,-61,6
33,-62,10
37,-65,16
41,-65,18
43,-67,17
45,-85,15
28,-75,12
23,-66,9
26,-74,11
27,-77,11
24,-79,5
14,-78,0
11,-75,0
11,-61,0
13,-57,1
15,-55,2
15,-55,1
12,-61,0
12,-65,-1
12,-61,-2
13,-55,0
8,-75,-2
19,-61,2
22,-55,11
20,-61,23
16,-65,24
16,-69,18
12,-66,13
1,-61,7
-4,-58,-3
27,-67,17
43,-64,12
40,-58,5
40,-62,9
42,-63,11
41,-67,10
38,-65,8
43,-88,6
39,-79,8
30,-64,5
32,-66,6
31,-71,7
27,-72,5
19,-73,2
12,-71,1
13,-68,2
13,-64,2
14,-63,3
14,-65,3
13,-67,3
11,-70,3
10,-68,2
9,-53,6
7,-57,6
14,-62,6
16,-52,16
15,-57,16
14,-65,15
16,-68,16
16,-65,15
13,-61,11
14,-56,6
17,-56,4
23,-63,1
28,-66,3
30,-70,4
40,-71,10
46,-69,10
45,-59,9
48,-71,8
42,-76,13
32,-65,11
33,-68,8
35,-73,9
33,-76,5
25,-78,0
17,-77,-3
14,-66,-4
12,-61,-3
12,-57,-3
13,-57,-2
15,-60,-1
14,-65,-1
12,-70,-3
12,-68,-3
12,-61,0
11,-71,-1
18,-63,6
19,-52,13
16,-49,19
17,-62,19
16,-69,17
10,-73,12
6,-69,9
10,-62,12
15,-60,13
29,-60,11
33,-58,10
36,-60,8
36,-59,7
35,-62,10
35,-63,9
38,-73,4
38,-86,9
27,-68,8
28,-61,7
29,-68,6
30,-75,6
27,-75,4
17,-73,1
16,-69,1
13,-60,1
14,-56,1
15,-55,1
14,-54,1
13,-54,1
12,-58,-1
12,-60,-1
13,-59,3
13,-55,5
14,-71,2
18,-72,5
22,-54,16
20,-53,19
20,-61,20
23,-77,18
21,-80,13
12,-67,8
6,-59,11
27,-51,17
31,-50,14
29,-53,12
34,-52,14
34,-54,16
33,-57,14
35,-59,12
37,-62,6
36,-63,4
37,-78,-3
44,-102,2
31,-79,-6
25,-67,-12
20,-61,-14
20,-62,-21
27,-68,-32
27,-69,-42
24,-72,-49
17,-69,-45
16,-63,-39
16,-55,-31
17,-52,-28
18,-50,-21
17,-49,-19
17,-52,-14
18,-53,-12
21,-63,-6
25,-72,-1
28,-71,4
28,-68,12
25,-66,12
17,-63,5
13,-62,0
6,-59,-3
5,-59,-1
9,-63,2
11,-67,3
15,-73,10
17,-69,19
17,-63,19
14,-57,14
15,-54,12
13,-52,10
10,-50,7
16,-50,10
17,-51,11
17,-54,10
18,-55,10
18,-55,9
18,-56,9
18,-59,8
20,-60,7
20,-69,5
25,-85,6
28,-77,9
22,-64,8
19,-65,7
16,-75,4
16,-73,3
20,-66,6
16,-63,5
14,-55,4
15,-51,5
15,-51,5
12,-51,3
11,-50,2
11,-54,2
11,-59,2
12,-69,3
12,-71,4
14,-71,6
13,-73,6
16,-87,0
21,-59,10
22,-51,15
22,-57,17
22,-61,16
19,-63,8
14,-61,3
9,-52,3
10,-47,6
17,-42,8
20,-41,7
23,-44,7
30,-56,8
31,-61,10
32,-66,8
33,-69,8
37,-96,8
39,-89,11
24,-64,5
19,-66,3
17,-71,7
17,-71,6
15,-68,3
11,-61,4
9,-57,3
14,-48,2
14,-46,2
15,-49,2
13,-54,1
12,-70,0
12,-75,-1
12,-70,0
12,-69,2
13,-86,-1
20,-50,12
22,-46,19
18,-57,20
18,-62,20
15,-65,17
9,-60,14
1,-48,10
1,-46,8
20,-49,13
28,-50,12
32,-53,9
35,-65,8
37,-69,11
37,-71,13
39,-78,11
36,-91,9
31,-83,8
20,-63,9
14,-64,14
19,-65,6
20,-67,8
20,-61,4
12,-56,4
10,-52,3
15,-48,2
15,-48,3
14,-56,3
12,-63,1
9,-74,-1
9,-76,-2
10,-68,1
11,-75,1
16,-79,1
20,-59,11
21,-45,22
17,-57,18
18,-62,16
12,-62,10
7,-58,6
5,-50,5
9,-47,6
21,-47,7
27,-48,7
34,-55,10
38,-61,11
42,-71,12
39,-68,11
33,-78,9
32,-97,10
31,-77,12
24,-62,14
18,-68,18
37,-56,-29
23,-77,-1
15,-67,3
9,-63,1
8,-52,0
15,-47,-1
17,-47,0
18,-53,0
17,-60,0
14,-72,-2
14,-73,-1
13,-65,4
11,-78,1
16,-68,7
19,-53,15
18,-48,19
14,-65,14
14,-72,12
10,-68,9
8,-63,8
10,-53,11
12,-50,12
28,-52,13
28,-51,9
31,-54,7
30,-57,7
31,-64,10
34,-68,12
36,-69,11
43,-89,11
38,-77,12
27,-59,10
27,-66,9
25,-77,8
24,-80,5
17,-77,1
12,-73,1
11,-62,3
14,-53,2
16,-52,2
17,-53,3
14,-56,2
13,-64,2
12,-66,3
12,-63,6
10,-65,5
12,-74,4
16,-61,10
20,-46,19
16,-56,17
17,-64,13
18,-72,9
16,-69,7
11,-59,4
12,-56,6
19,-56,10
23,-57,9
30,-59,8
32,-61,9
35,-64,13
36,-63,17
38,-62,15
44,-91,13
38,-82,14
25,-63,8
26,-69,7
26,-77,9
27,-75,8
20,-68,4
16,-68,1
11,-60,1
11,-57,0
13,-52,0
16,-56,3
15,-63,3
13,-72,2
12,-73,2
10,-65,0
9,-70,0
14,-72,5
18,-56,14
18,-44,25
12,-49,20
8,-58,9
7,-68,5
8,-68,5
12,-59,9
16,-56,12
26,-56,12
31,-58,10
36,-56,9
38,-62,9
39,-67,9
40,-72,9
31,-72,6
40,-94,9
37,-78,10
29,-50,13
27,-46,14
30,-63,11
30,-70,9
23,-73,3
17,-73,-1
9,-70,2
5,-65,0
11,-56,2
15,-59,6
14,-63,5
12,-70,2
11,-70,1
13,-63,2
14,-56,4
15,-67,3
18,-61,5
21,-45,16
20,-49,18
17,-59,18
15,-66,13
13,-66,9
9,-60,5
10,-59,6
20,-61,9
25,-63,9
32,-64,13
33,-62,14
35,-62,13
35,-63,12
33,-60,11
45,-89,8
46,-85,14
33,-60,11
34,-61,9
32,-74,8
28,-78,6
18,-79,0
15,-80,0
14,-75,5
14,-71,5
14,-63,3
15,-58,3
13,-57,3
12,-60,2
10,-60,1
11,-55,4
11,-51,7
9,-64,3
13,-62,5
